period,clock,clock_display,game_clock,minutes_left_in_game,actionNumber,actionType,description,qualifier,playerName,scoreHome,scoreAway,shotResult,isFieldGoal,assisted,person_id,assister_id,previous_action,next_action,foulDrawnPersonId,stealPersonId,blockPersonId,players_on,off_players_on,def_players_on,xLegacy,yLegacy,teamId,game_id
1,PT07M50.00S,07:50,Q1 07:50,42.166666666666664,53,2pt,A. Reaves driving Layup (5 PTS),['pointsinthepaint'],Reaves,8,12,Made,True,False,1630559,,3pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,23.0,12.0,1610612747.0,22500012
1,PT07M37.00S,07:37,Q1 07:37,42.38333333333333,54,2pt,K. Durant 6' fadeaway Jump Shot (2 PTS) (A. Thompson 1 AST),['pointsinthepaint'],Durant,8,14,Made,True,True,201142,1641708.0,2pt made,turnover,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,-61.0,15.0,1610612745.0,22500012
1,PT07M27.00S,07:27,Q1 07:27,42.55,56,turnover,L. Dončić step out-of-bounds TURNOVER (4 TO),[],Dončić,8,14,,False,False,1629029,,2pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT07M14.00S,07:14,Q1 07:14,42.766666666666666,57,2pt,A. Thompson driving Layup (4 PTS),"['pointsinthepaint', 'fromturnover']",Thompson,8,16,Made,True,False,1641708,,turnover,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,25.0,16.0,1610612745.0,22500012
1,PT07M05.00S,07:05,Q1 07:05,42.916666666666664,58,3pt,MISS L. James 26' 3PT,[],James,8,16,Missed,True,False,2544,,2pt made,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,176.0,200.0,1610612747.0,22500012
1,PT07M02.00S,07:02,Q1 07:02,42.96666666666667,59,rebound,A. Sengun REBOUND (Off:1 Def:2),[],Sengun,8,16,,False,False,1630578,,3pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT06M48.00S,06:48,Q1 06:48,41.2,60,2pt,A. Sengun 10' Hook (2 PTS),['pointsinthepaint'],Sengun,8,18,Made,True,False,1630578,,rebound,timeout,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,36.0,99.0,1610612745.0,22500012
1,PT06M42.00S,06:42,Q1 06:42,41.3,61,timeout,LAL Timeout,"['team', 'mandatory']",,8,18,,False,False,0,,2pt made,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT06M33.00S,06:33,Q1 06:33,41.45,62,2pt,D. Ayton 16' Jump Shot (4 PTS) (L. James 1 AST),[],Ayton,10,18,Made,True,True,1629028,2544.0,timeout,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,-43.0,154.0,1610612747.0,22500012
1,PT06M15.00S,06:15,Q1 06:15,41.75,64,2pt,A. Thompson driving Layup (6 PTS) (A. Sengun 2 AST),['pointsinthepaint'],Thompson,10,20,Made,True,True,1641708,1630578.0,2pt made,3pt missed,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,25.0,6.0,1610612745.0,22500012
1,PT05M59.00S,05:59,Q1 05:59,40.016666666666666,66,3pt,MISS R. Hachimura 3PT,[],Hachimura,10,20,Missed,True,False,1629060,,2pt made,rebound,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,223.0,12.0,1610612747.0,22500012
1,PT05M56.00S,05:56,Q1 05:56,40.06666666666667,67,rebound,A. Thompson REBOUND (Off:2 Def:1),[],Thompson,10,20,,False,False,1641708,,3pt missed,2pt made,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,,,1610612745.0,22500012
1,PT05M44.00S,05:44,Q1 05:44,40.266666666666666,68,2pt,A. Thompson alley-oop DUNK (8 PTS) (A. Sengun 3 AST),['pointsinthepaint'],Thompson,10,22,Made,True,True,1641708,1630578.0,rebound,timeout,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559|2544,9.0,14.0,1610612745.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,70,timeout,LAL Timeout,"['team', 'mandatory']",,10,22,,False,False,0,,2pt made,substitution,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142|2544,1629028|1629029|1629060|1630559|2544,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,71,substitution,SUB out: L. James,[],James,10,22,,False,False,2544,,timeout,substitution,,,,1629028|1629029|1629060|1630559|1630578|1631095|1631106|1641708|201142,1629028|1629029|1629060|1630559,1630578|1631095|1631106|1641708|201142,,,1610612747.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,72,substitution,SUB out: J. Smith Jr.,[],Smith Jr.,10,22,,False,False,1631095,,substitution,substitution,,,,1629028|1629029|1629060|1630559|1630578|1631106|1641708|201142,1630578|1631106|1641708|201142,1629028|1629029|1629060|1630559,,,1610612745.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,73,substitution,SUB out: T. Eason,[],Eason,10,22,,False,False,1631106,,substitution,substitution,,,,1629028|1629029|1629060|1630559|1630578|1641708|201142,1630578|1641708|201142,1629028|1629029|1629060|1630559,,,1610612745.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,74,substitution,SUB in: M. Smart,[],Smart,10,22,,False,False,203935,,substitution,substitution,,,,1629028|1629029|1629060|1630559|1630578|1641708|201142|203935,1629028|1629029|1629060|1630559|203935,1630578|1641708|201142,,,1610612747.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,75,substitution,SUB in: D. Finney-Smith,[],Finney-Smith,10,22,,False,False,1627827,,substitution,substitution,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|201142|203935,1627827|1630578|1641708|201142,1629028|1629029|1629060|1630559|203935,,,1610612745.0,22500012
1,PT05M36.00S,05:36,Q1 05:36,40.4,76,substitution,SUB in: R. Sheppard,[],Sheppard,10,22,,False,False,1642263,,substitution,2pt made,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1627827|1630578|1641708|1642263|201142,1629028|1629029|1629060|1630559|203935,,,1610612745.0,22500012
1,PT05M21.00S,05:21,Q1 05:21,40.65,78,2pt,A. Reaves 8' driving floating Jump Shot (7 PTS) (L. Dončić 3 AST),['pointsinthepaint'],Reaves,12,22,Made,True,True,1630559,1629029.0,substitution,3pt missed,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1629028|1629029|1629060|1630559|203935,1627827|1630578|1641708|1642263|201142,20.0,78.0,1610612747.0,22500012
1,PT04M55.00S,04:55,Q1 04:55,39.083333333333336,80,3pt,MISS R. Sheppard 28' 3PT,[],Sheppard,12,22,Missed,True,False,1642263,,2pt made,rebound,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1627827|1630578|1641708|1642263|201142,1629028|1629029|1629060|1630559|203935,142.0,251.0,1610612745.0,22500012
1,PT04M52.00S,04:52,Q1 04:52,39.13333333333333,81,rebound,R. Hachimura REBOUND (Off:0 Def:1),[],Hachimura,12,22,,False,False,1629060,,3pt missed,2pt made,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1629028|1629029|1629060|1630559|203935,1627827|1630578|1641708|1642263|201142,,,1610612747.0,22500012
1,PT04M46.00S,04:46,Q1 04:46,39.233333333333334,82,2pt,A. Reaves running Layup (9 PTS),"['fastbreak', 'pointsinthepaint']",Reaves,14,22,Made,True,False,1630559,,rebound,foul,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1629028|1629029|1629060|1630559|203935,1627827|1630578|1641708|1642263|201142,15.0,12.0,1610612747.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,83,foul,D. Ayton shooting personal FOUL (1 PF) (Thompson 2 FT),['2freethrow'],Ayton,14,22,,False,False,1629028,,2pt made,freethrow,1641708.0,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1629028|1629029|1629060|1630559|203935,1627827|1630578|1641708|1642263|201142,,,1610612747.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,85,freethrow,A. Thompson Free Throw 1 of 2 (9 PTS),[],Thompson,14,23,Made,False,False,1641708,,foul,freethrow,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1627827|1630578|1641708|1642263|201142,1629028|1629029|1629060|1630559|203935,,,1610612745.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,90,freethrow,MISS A. Thompson Free Throw 2 of 2,[],Thompson,14,23,Missed,False,False,1641708,,freethrow,substitution,,,,1627827|1629028|1629029|1629060|1630559|1630578|1641708|1642263|201142|203935,1627827|1630578|1641708|1642263|201142,1629028|1629029|1629060|1630559|203935,,,1610612745.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,86,substitution,SUB out: A. Reaves,[],Reaves,14,23,,False,False,1630559,,freethrow,substitution,,,,1627827|1629028|1629029|1629060|1630578|1641708|1642263|201142|203935,1629028|1629029|1629060|203935,1627827|1630578|1641708|1642263|201142,,,1610612747.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,87,substitution,SUB out: A. Sengun,[],Sengun,14,23,,False,False,1630578,,substitution,substitution,,,,1627827|1629028|1629029|1629060|1641708|1642263|201142|203935,1627827|1641708|1642263|201142,1629028|1629029|1629060|203935,,,1610612745.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,88,substitution,SUB in: J. LaRavia,[],LaRavia,14,23,,False,False,1631222,,substitution,substitution,,,,1627827|1629028|1629029|1629060|1631222|1641708|1642263|201142|203935,1629028|1629029|1629060|1631222|203935,1627827|1641708|1642263|201142,,,1610612747.0,22500012
1,PT04M36.00S,04:36,Q1 04:36,39.4,89,substitution,SUB in: S. Adams,[],Adams,14,23,,False,False,203500,,substitution,rebound,,,,1627827|1629028|1629029|1629060|1631222|1641708|1642263|201142|203500|203935,1627827|1641708|1642263|201142|203500,1629028|1629029|1629060|1631222|203935,,,1610612745.0,22500012
1,PT04M33.00S,04:33,Q1 04:33,39.45,91,rebound,L. Dončić REBOUND (Off:0 Def:3),[],Dončić,14,23,,False,False,1629029,,substitution,2pt made,,,,1627827|1629028|1629029|1629060|1631222|1641708|1642263|201142|203500|203935,1629028|1629029|1629060|1631222|203935,1627827|1641708|1642263|201142|203500,,,1610612747.0,22500012
1,PT04M14.00S,04:14,Q1 04:14,39.766666666666666,93,2pt,L. Dončić driving Layup (2 PTS),['pointsinthepaint'],Dončić,16,23,Made,True,False,1629029,,rebound,2pt made,,,,1627827|1629028|1629029|1629060|1631222|1641708|1642263|201142|203500|203935,1629028|1629029|1629060|1631222|203935,1627827|1641708|1642263|201142|203500,21.0,13.0,1610612747.0,22500012
1,PT04M07.00S,04:07,Q1 04:07,39.88333333333333,94,2pt,K. Durant 17' pullup Jump Shot (4 PTS),[],Durant,16,25,Made,True,False,201142,,2pt made,2pt missed,,,,1627827|1629028|1629029|1629060|1631222|1641708|1642263|201142|203500|203935,1627827|1641708|1642263|201142|203500,1629028|1629029|1629060|1631222|203935,-134.0,110.0,1610612745.0,22500012
